AEROENG2001,,,,,,,,,,,,,,
BUS5305,,,,,,,,,,,,,,
BUS5360,BUS1210,ENGMGT2211,STAT3113,STAT1115,STAT3111,STAT1111/ECON1300,STAT3117,STAT3115,,,,,,
STAT3113,MATH1215,MATH1221,,,,,,,,,,,,
STAT1115,,,,,,,,,,,,,,
STAT3111,MATH1214,MATH1208,MATH1212,,,,,,,,,,,
STAT1111/ECON1300,MATH1140,MATH1120,,,,,,,,,,,,
STAT3117,MATH2222,,,,,,,,,,,,,
STAT3115,MATH1215,MATH1221,,,,,,,,,,,,
BUS5470,BUS1110,,,,,,,,,,,,,
BUS5580,ENGMGT3510,MKT3110,FINANCE2150,,,,,,,,,,,
FINANCE2150,BUS1210,ENGMGT2211,,,,,,,,,,,,
BUS5705,,,,,,,,,,,,,,
BUS5730,IST1750,,,,,,,,,,,,,
IST1750,,,,,,,,,,,,,,
BUS5805,,,,,,,,,,,,,,
BUS5896,,,,,,,,,,,,,,
BUS5910,,,,,,,,,,,,,,
BUS5980,,,,,,,,,,,,,,
CERENG2002,,,,,,,,,,,,,,
CERENG2110,,,,,,,,,,,,,,
CERENG2120,CERENG2110,,,,,,,,,,,,,
CERENG2210,,,,,,,,,,,,,,
CERENG2315,,,,,,,,,,,,,,
CERENG2325,CERENG2315,,,,,,,,,,,,,
CERENG3001,,,,,,,,,,,,,,
CERENG3210,,,,,,,,,,,,,,
CERENG3220,CERENG3230,,,,,,,,,,,,,
CERENG3230,CHEM1320,,,,,,,,,,,,,
CERENG3240,CERENG2210,,,,,,,,,,,,,
CERENG3315,CERENG2325,,,,,,,,,,,,,
CERENG3325,CERENG2325,,,,,,,,,,,,,
CERENG3410,CERENG2110,METENG2110,,,,,,,,,,,,
METENG2110,CHEM1310,,,,,,,,,,,,,
CERENG4000,,,,,,,,,,,,,,
CERENG4001,,,,,,,,,,,,,,
METENG4096/CERENG4096,CERENG3315,METENG2125,METENG3125,,,,,,,,,,,
METENG2125,METENG3130,,,,,,,,,,,,,
METENG3125,METENG2110,METENG3120,,,,,,,,,,,,
CERENG4097/METENG4097,METENG4096/CERENG4096,,,,,,,,,,,,,
CERENG4099,,,,,,,,,,,,,,
CERENG4220,CIVENG2210,,,,,,,,,,,,,
CERENG4230,CIVENG2210,,,,,,,,,,,,,
CERENG4240,PHYSICS2305,,,,,,,,,,,,,
PHYSICS2305,MATH2222,PHYSICS2135,PHYSICS2111,,,,,,,,,,,
CERENG4250,CERENG3220,,,,,,,,,,,,,
CERENG4310,CERENG3210,,,,,,,,,,,,,
CERENG4410,MATH3304,CERENG2110,CERENG3230,METENG2110,,,,,,,,,,
GEOENG5092/CERENG4510/METENG4510,GEOENG5211/GEOENG5247,,,,,,,,,,,,,
CERENG5000,,,,,,,,,,,,,,
CERENG5001,,,,,,,,,,,,,,
CERENG5002,,,,,,,,,,,,,,
CERENG5040,,,,,,,,,,,,,,
CERENG5099,,,,,,,,,,,,,,
CERENG5115,CERENG3410,,,,,,,,,,,,,
CERENG5220,,,,,,,,,,,,,,
CERENG5230,,,,,,,,,,,,,,
CERENG5250,CERENG3230,,,,,,,,,,,,,
CERENG5260,,,,,,,,,,,,,,
CERENG5310,CERENG3210,CERENG3325,,,,,,,,,,,,
CHEMENG2001,,,,,,,,,,,,,,
CHEMENG2100,PHYSICS1135,MATH1215,CHEM1320,MATH1221,GEOLOGY3410,,,,,,,,,
MATH1221,MATH1214,MATH1208,MATH1160,,,,,,,,,,,
GEOLOGY3410,CHEM1310,,,,,,,,,,,,,
CHEMENG2110,MATH2222,CHEMENG2100,,,,,,,,,,,,
CHEMENG3000,,,,,,,,,,,,,,
CHEMENG3001,,,,,,,,,,,,,,
