CHEM 3459  Accelerated Physical Chemistry Laboratory (LAB 2.0)
CHEM 3510  Analytical Chemistry II (LAB 1.0 and LEC 3.0)
CHEM 4000  Special Problems (IND 0.0-6.0)
CHEM 4001  Special Topics (LAB 2.0 and LEC 1.0 and RSD 0.0)
CHEM 4010  Undergraduate Seminar (RSD 1.0)
CHEM 4099  Undergraduate Research (IND 0.0-6.0)
CHEM 4210  Intermediate Organic Chemistry (LEC 3.0)
CHEM 4220  Intermediate Organic Chemistry II (LEC 3.0)
CHEM 4297  Organic Synthesis And Spectroscopic Analysis (LAB 2.0 and LEC 1.0)
CHEM 4310  Selected Topics In Inorganic Chemistry (LEC 3.0)
CHEM 4410  Chemical Thermodynamics II (LEC 3.0)
CHEM 4420  Chemical Kinetics II (LEC 3.0)
CHEM 4510  Instrumental Methods Of Chemical Analysis (LAB 1.0 and LEC 3.0)
CHEM 4610  General Biochemistry (LEC 3.0)
CHEM 4619  General Biochemistry Laboratory (LAB 2.0)
CHEM 4620  Metabolism (LEC 3.0)
CHEM 4630  Introduction to Bio-Nanotechnology (LEC 3.0)
CHEM 4710  Principles Of Environmental Monitoring (LEC 3.0)
CHEM 4810  Chemistry And Inherent Properties Of Polymers (LEC 3.0)
CHEM 4819  Polymer Science Laboratory (LAB 1.0)
CHEM 4850  Fundamentals Of Protective Coating I (LEC 3.0)
CHEM 5000  Special Problems (IND 0.0-6.0)
CHEM 5001  Special Topics (LAB 2.0 and LEC 1.0)
CHEM 5099  Master Research (IND 0.0-6.0)
CHEM 5100  Laboratory Safety & Hazardous Materials (LEC 1.0)
CHEM 5210  Fundamentals of Synthetic Organic Reactions (LEC 3.0)
CHEM 5220  Physical Organic Chemistry (LEC 3.0)
CHEM 5310  Introduction to Inorganic Chemistry (LEC 3.0)
CHEM 5410  Advanced Chemical Thermodynamics (LEC 3.0)
CHEM 5420  Elemental Quantum Chemistry (LEC 3.0)
CHEM 5430  Advanced Chemical Kinetics (LEC 3.0)
CHEM 5460  Molecular Engineering of Materials (LEC 3.0)
CHEM 5510  Introduction to Chemical Analysis (LAB 1.0 and LEC 3.0)
CHEM 5610  Biochemistry (LEC 3.0)
CHEM 5619  Biochemistry Laboratory (LAB 2.0)
CHEM 5620  Biochemical Metabolism (LEC 3.0)
CHEM 5630  Biochemical Nanotechnology (LEC 3.0)
CHEM 5650  Introduction to Medicinal Chemistry (LEC 3.0)
CHEM 5710  Environmental Monitoring (LEC 3.0)
CHEM 5810  Introduction to Polymeric Materials (LEC 3.0)
CHEM 5819  Polymer Synthesis and Characterization Lab (LAB 1.0)
CHEM 5850  Introduction to Coating Chemistry (LEC 3.0)
CIV ENG 2001  Special Topics (LEC 0.0-6.0)
CIV ENG 2002  Cooperative Engineering Training (IND 1.0-3.0)
CIV ENG 2003  Engineering Communications and Computations (LAB 1.0 and LEC 2.0)
CIV ENG 2200  Statics (LEC 3.0)
CIV ENG 2210  Mechanics Of Materials (LEC 3.0)
CIV ENG 2211  Materials Testing (LAB 1.0)
CIV ENG 2401  Fundamentals Of Surveying (LAB 1.0 and LEC 2.0)
CIV ENG 2451  Engineering Drawings and Tools (LEC 3.0)
CIV ENG 2601  Fundamentals Of Environmental Engineering And Science (LAB 1.0 and LEC 2.0)
CIV ENG 2602  Biological Fundamentals Of Environmental Engineering (LEC 3.0)
CIV ENG 3000  Special Problems (IND 0.0-6.0)
CIV ENG 3001  Special Topics (IND 0.0-6.0)
